gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
RPL8,3.5113673,0.53243184,0.0,5.044472,3.409063,0.5952833,0.0,4.8763556,3.4894495,0.38074404,0.0,4.9992967,3.390416,0.7899618,0.0,4.98311,3.0691905,1.2017905,0.0,4.8763556
ZNF517,0.008507735,0.013154972,0.0,2.6903114,0.006827832,0.011056396,0.0,2.6273441,0.0066753267,0.01277101,0.0,2.4809742,0.0062621012,0.008955039,0.0,2.6688116,0.009296592,0.009775421,0.0,1.5986458
ZNF7,0.05359663,0.084245585,0.0,3.1076097,0.05366651,0.08847222,0.0,3.1408665,0.049691137,0.086047314,0.0,2.8227344,0.056081235,0.078474276,0.0,3.316381,0.044596665,0.05108719,0.0,2.6237786
COMMD5,0.12713517,0.19590437,0.0,3.6142318,0.12055773,0.18689497,0.0,3.489808,0.081829876,0.14079805,0.0,2.9176524,0.1402909,0.1825729,0.0,3.3074648,0.18445306,0.2055612,0.0,2.7763467
ZNF250,0.051179904,0.08476137,0.0,3.0984704,0.051317286,0.079330355,0.0,2.7891493,0.02144689,0.035319652,0.0,2.373705,0.06331216,0.089188166,0.0,2.990003,0.06508121,0.08349044,0.0,2.7202682
ZNF16,0.022714633,0.0375095,0.0,2.8931623,0.022643916,0.038482215,0.0,2.713668,0.020378813,0.037239417,0.0,2.61728,0.023657134,0.03329062,0.0,2.6321208,0.019986589,0.02672511,0.0,2.6345193
ZNF252P-AS1,0.0026124967,0.0042377054,0.0,2.3754728,0.001172422,0.0019370203,0.0,2.3099985,0.0028076167,0.0050374446,0.0,2.1509497,0.0035021799,0.0055943485,0.0,2.7595606,0.0035829947,0.004210636,0.0,1.4234917
C8orf33,0.07610215,0.11740276,0.0,2.975767,0.07797366,0.12282971,0.0,2.9428298,0.08044763,0.13628043,0.0,3.4349554,0.07094593,0.09598038,0.0,2.8050528,0.07599582,0.08162555,0.0,2.0628207
FOXD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBWD1,0.08615173,0.12681994,0.0,3.2617095,0.09039474,0.13318929,0.0,3.1025212,0.043244768,0.07216026,0.0,2.5402029,0.11494379,0.15158151,0.0,2.6941612,0.14341298,0.16861014,0.0,3.29989
DOCK8,0.4205166,0.56290996,0.0,3.596243,0.34517074,0.48160788,0.0,3.3993142,0.24677178,0.38824448,0.0,2.9574163,0.52780724,0.60775954,0.0,4.149503,0.5131942,0.52168655,0.0,3.9253118
