gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.00033499594,0.00050806516,0.0,2.294614,0.00049045234,0.0005880186,0.0,1.3993348,0.0,0.0,0.0,0.0,0.00042063347,0.00045622364,0.0,1.3798789,0.0,0.0,0.0,0.0
LINC00115,0.02315435,0.03319357,0.0,2.85147,0.023451354,0.03259031,0.0,2.7282548,0.008229347,0.01545502,0.0,2.6564083,0.020052789,0.031123,0.0,2.8212473,0.041334305,0.06191889,0.0,2.7269187
FAM41C,0.004657939,0.008306467,0.0,2.8197627,0.0077623078,0.012225972,0.0,2.33658,0.013495883,0.023591924,0.0,2.8287072,0.00085868425,0.0013848781,0.0,2.2058036,0.0,0.0,0.0,0.0
SAMD11,0.0003298793,0.00067751756,0.0,2.3657956,0.00046390606,0.0008333165,0.0,1.8718868,0.00040127806,0.0006023501,0.0,1.7884339,0.00044391336,0.0006117774,0.0,1.5830876,0.0,0.0,0.0,0.0
NOC2L,0.15894191,0.21242481,0.0,3.4262772,0.18449071,0.24624115,0.0,2.9990158,0.16593966,0.2725208,0.0,3.3403642,0.18069978,0.24159148,0.0,3.152583,0.21416235,0.22813249,0.0,2.8907495
KLHL17,0.0079920525,0.0116908355,0.0,2.7309332,0.008970162,0.012848757,0.0,2.3666706,0.006690412,0.011832085,0.0,2.4572234,0.009763765,0.016111532,0.0,2.842295,0.014510767,0.025846073,0.0,2.7019117
PLEKHN1,0.016281279,0.02247075,0.0,2.6393359,0.016208753,0.02250101,0.0,2.6381292,0.007545375,0.013223848,0.0,2.606169,0.0093367435,0.012926371,0.0,2.6576407,0.01679451,0.024807975,0.0,3.5557365
HES4,0.08642415,0.14173447,0.0,3.5795305,0.062508926,0.111840025,0.0,3.398848,0.05176214,0.09872878,0.0,3.4306061,0.13257982,0.2266139,0.0,3.3902657,0.6664866,1.0345734,0.0,4.2653513
ISG15,0.6613052,0.83271235,0.0,5.9311485,0.6524662,0.80267876,0.0,4.72612,0.59135836,0.9512094,0.0,4.930181,0.6348327,0.79545844,0.0,4.474583,1.2158388,1.2751876,0.0,5.3508635
AGRN,0.009248681,0.013088954,0.0,2.7526596,0.009627906,0.013397259,0.0,2.3693016,0.0019575546,0.003374569,0.0,2.1556602,0.009667837,0.014672481,0.0,2.7721202,0.02315642,0.02898668,0.0,2.6903114
RNF223,0.00039781994,0.00059492013,0.0,2.0526953,0.00041693373,0.00077083684,0.0,2.4630988,0.0006079128,0.00087724364,0.0,1.6830826,0.0007147668,0.0012371328,0.0,2.387057,0.00065958913,0.0008605783,0.0,1.3053269
C1orf159,0.023191236,0.03297682,0.0,2.6551776,0.022354726,0.03143519,0.0,2.8138494,0.009437624,0.01621046,0.0,3.038826,0.020313751,0.027996467,0.0,2.6852047,0.03925717,0.045580395,0.0,2.6502724
TTLL10,0.001958627,0.0032708913,0.0,2.7444491,0.0011268042,0.0020769485,0.0,2.6877544,0.0016737937,0.0032853144,0.0,2.5305724,0.0015712841,0.0022735337,0.0,2.573111,0.0016503127,0.0013818687,0.0,1.0181373
TNFRSF18,0.19454248,0.30928367,0.0,3.680024,0.1911326,0.31314698,0.0,3.997759,0.113490984,0.2285173,0.0,3.7733893,0.17614396,0.27590248,0.0,3.5230825,0.39047676,0.56776524,0.0,3.7698343
TNFRSF4,0.033229202,0.05975701,0.0,4.38658,0.07046258,0.12215603,0.0,3.8350437,0.049091037,0.09975123,0.0,4.0972004,0.033699177,0.0567532,0.0,4.611957,0.051847987,0.09770598,0.0,4.3248916
SDF4,0.31870505,0.38871467,0.0,3.166625,0.30225956,0.36984786,0.0,3.4130535,0.18226914,0.29992706,0.0,3.5513413,0.33081642,0.40131146,0.0,3.2390628,0.46091273,0.41410583,0.0,2.9748845
B3GALT6,0.030976936,0.04394782,0.0,3.1004934,0.03362363,0.053276405,0.0,2.6273441,0.06302024,0.10276196,0.0,2.8384995,0.042949688,0.06049761,0.0,2.8560932,0.05221415,0.0593645,0.0,2.387955
UBE2J2,0.1887492,0.2489655,0.0,3.2905078,0.18747036,0.24260996,0.0,3.0275393,0.16044067,0.2613456,0.0,3.2898855,0.19544032,0.24830553,0.0,2.7651205,0.19196977,0.18979727,0.0,2.6826625
SCNN1D,0.0024343599,0.003977333,0.0,2.6190474,0.0027271097,0.0037786048,0.0,2.519998,0.0015100241,0.0022863734,0.0,1.8746848,0.0033391442,0.005637665,0.0,2.4700055,0.0014291003,0.0013484105,0.0,0.9818721
ACAP3,0.037077315,0.052692555,0.0,3.4224455,0.03427209,0.052077997,0.0,3.040721,0.04413078,0.074720174,0.0,2.6750803,0.031558864,0.04631594,0.0,2.7485447,0.06155051,0.083088785,0.0,2.7963428
PUSL1,0.051924635,0.07304765,0.0,2.9061403,0.048395757,0.06710015,0.0,2.8079755,0.032171734,0.055421628,0.0,2.8287072,0.054055892,0.07412631,0.0,2.8499343,0.101964764,0.11483985,0.0,2.800687
