gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
GTF2B,CD8T,0.0,0.0,0.55773174,high,UC_inflamed,CD_inflamed,10646524.5,5.053388508337487e-09,11609,1979,1.6904457861161355e-08
RHOC,CD8T,0.0,0.0,0.3547771,medium,Healthy,UC_inflamed,159256201.5,5.299906076485443e-150,23962,11609,3.146147709612902e-148
RHOC,CD8T,0.0,0.0,0.3547771,medium,UC_inflamed,UC_non_inflamed,43383098.0,1.092496015614996e-39,11609,6890,1.0543293583101338e-38
RHOC,CD8T,0.0,0.0,0.3547771,medium,UC_inflamed,CD_inflamed,10167294.5,6.72571883850788e-25,11609,1979,4.280993672206521e-24
RHOC,CD8T,0.0,0.0,0.3547771,medium,UC_inflamed,Colitis_inflamed,67617159.0,8.522608686200398e-15,11609,12212,3.7596311189672795e-14
CD160,CD8T,0.0,0.0,0.50272166,high,Healthy,UC_inflamed,171508117.5,0.0,23962,11609,0.0
CD160,CD8T,0.0,0.0,0.50272166,high,UC_inflamed,Colitis_inflamed,61637060.5,7.506358236428446e-144,11609,12212,4.1686172206096586e-142
CD160,CD8T,0.0,0.0,0.50272166,high,UC_inflamed,CD_inflamed,9097240.5,1.6805658217595667e-123,11609,1979,7.334827251880168e-122
CD160,CD8T,0.0,0.0,0.50272166,high,UC_inflamed,UC_non_inflamed,42074797.5,3.951567599245985e-29,11609,6890,2.865375785045321e-28
C1orf56,CD8T,0.0,0.0,0.319190156,medium,Healthy,UC_inflamed,130679023.0,1.3960076655136617e-153,23962,11609,8.607466865657551e-152
C1orf56,CD8T,0.0,0.0,0.319190156,medium,UC_inflamed,UC_non_inflamed,36357344.5,7.497042648470659e-77,11609,6890,1.5886825243897363e-75
C1orf56,CD8T,0.0,0.0,0.319190156,medium,UC_inflamed,Colitis_inflamed,74269658.5,2.6443839196187957e-55,11609,12212,3.701034416047685e-54
C1orf56,CD8T,0.0,0.0,0.319190156,medium,UC_inflamed,CD_inflamed,12228866.5,3.340006940252312e-24,11609,1979,2.0784703157945706e-23
S100A6,CD8T,0.0,0.0,0.9424628,high,UC_inflamed,Colitis_inflamed,93577098.0,0.0,11609,12212,0.0
S100A6,CD8T,0.0,0.0,0.9424628,high,UC_inflamed,CD_inflamed,15353372.0,1.898736932474558e-129,11609,1979,8.891875050160731e-128
S100A6,CD8T,0.0,0.0,0.9424628,high,UC_inflamed,UC_non_inflamed,33229305.0,1.2885704611225525e-83,11609,6890,3.08173853228077e-82
S100A6,CD8T,0.0,0.0,0.9424628,high,Healthy,UC_inflamed,127187909.0,4.979248640216334e-40,23962,11609,4.844194717330196e-39
RPS27,CD8T,0.0,0.0,1.1253319999999998,high,UC_inflamed,UC_non_inflamed,24890895.0,0.0,11609,6890,0.0
RPS27,CD8T,0.0,0.0,1.1253319999999998,high,UC_inflamed,CD_inflamed,16530672.0,1.2242793256968476e-214,11609,1979,1.3663907512368494e-212
RPS27,CD8T,0.0,0.0,1.1253319999999998,high,UC_inflamed,Colitis_inflamed,85208066.0,1.4814633679977758e-160,11609,12212,9.87948966526053e-159
RPS27,CD8T,0.0,0.0,1.1253319999999998,high,Healthy,UC_inflamed,125915822.5,1.1270525092659294e-47,23962,11609,1.3289779368668758e-46
KRTCAP2,CD8T,0.0,0.0,0.47846263,medium,UC_inflamed,UC_non_inflamed,48130274.0,3.692476728039041e-162,11609,6890,2.509170367302479e-160
KRTCAP2,CD8T,0.0,0.0,0.47846263,medium,UC_inflamed,Colitis_inflamed,63705843.0,3.5358901365029685e-48,11609,12212,4.2203743161921226e-47
KRTCAP2,CD8T,0.0,0.0,0.47846263,medium,Healthy,UC_inflamed,151374374.0,5.645024736586314e-48,23962,11609,6.703518904492154e-47
KRTCAP2,CD8T,0.0,0.0,0.47846263,medium,UC_inflamed,CD_inflamed,10434398.5,1.170306410537063e-12,11609,1979,4.711592815963653e-12
LMNA,CD8T,0.0,0.0,0.45369421,medium,UC_inflamed,Colitis_inflamed,83714161.5,2.0770640028999835e-256,11609,12212,3.182789321284894e-254
LMNA,CD8T,0.0,0.0,0.45369421,medium,UC_inflamed,UC_non_inflamed,48471332.5,3.477482700378315e-246,11609,6890,4.934348800845177e-244
LMNA,CD8T,0.0,0.0,0.45369421,medium,Healthy,UC_inflamed,128242297.5,9.333729063046033e-57,23962,11609,1.3468300919304395e-55
LMNA,CD8T,0.0,0.0,0.45369421,medium,UC_inflamed,CD_inflamed,12554326.5,8.822175332275698e-17,11609,1979,4.211932935887709e-16
FCER1G,CD8T,0.0,0.0,0.67737817,high,UC_inflamed,CD_inflamed,8056371.5,0.0,11609,1979,0.0
FCER1G,CD8T,0.0,0.0,0.67737817,high,UC_inflamed,Colitis_inflamed,62164417.5,1.2082832581617376e-221,11609,12212,1.425597206790827e-219
FCER1G,CD8T,0.0,0.0,0.67737817,high,Healthy,UC_inflamed,152834351.5,2.172931190143969e-182,23962,11609,1.8122763758295509e-180
FCER1G,CD8T,0.0,0.0,0.67737817,high,UC_inflamed,UC_non_inflamed,39001398.5,4.4599369972285054e-15,11609,6890,1.9908887782129014e-14
SELL,CD8T,0.0,0.0,0.34573964,medium,Healthy,UC_inflamed,126894969.5,4.809584467522782e-128,23962,11609,2.2130959385558403e-126
SELL,CD8T,0.0,0.0,0.34573964,medium,UC_inflamed,UC_non_inflamed,36245423.0,7.822529515019437e-51,11609,6890,9.923736734099097e-50
SELL,CD8T,0.0,0.0,0.34573964,medium,UC_inflamed,CD_inflamed,10523849.0,2.189399525909552e-18,11609,1979,1.1115051970107913e-17
