gene,effect_size,effect_size_class
FAM87B,0.00049045234,low
LINC00115,0.033104958000000004,low
FAM41C,0.013495883,low
SAMD11,0.00046390606,low
NOC2L,0.05522044000000001,low
KLHL17,0.007820355000000001,low
PLEKHN1,0.009249134999999999,low
HES4,0.61472446,high
ISG15,0.62448044,high
AGRN,0.0211988654,low
RNF223,0.00031694686,low
C1orf159,0.029819546000000002,low
TTLL10,0.0008318228000000001,low
TNFRSF18,0.27698577599999996,medium
TNFRSF4,0.037233378,low
SDF4,0.27864359,medium
B3GALT6,0.03204330400000001,low
UBE2J2,0.03499964999999999,low
SCNN1D,0.0019100439,low
ACAP3,0.029991646000000004,low
PUSL1,0.06979303,low
TAS1R3,0.0014441969,low
DVL1,0.0075458439999999995,low
MXRA8,0.007279990600000001,low
AURKAIP1,0.10801373999999997,low
CCNL2,0.18356107500000002,low
MRPL20,0.10248481999999998,low
ANKRD65,0.00212274752,low
VWA1,0.0003378537,low
ATAD3C,0.0023494889999999997,low
ATAD3B,0.050523514,low
ATAD3A,0.036032471999999996,low
SSU72,0.08933579999999997,low
AL645728.1,0.012343681999999998,low
MIB2,0.08933201999999998,low
MMP23B,0.026193070000000002,low
CDK11B,0.11887317500000001,low
SLC35E2B,0.058951569999999995,low
CDK11A,0.159311283,low
NADK,0.060389096,low
GNB1,0.04450153000000001,low
TMEM52,0.0014242583,low
GABRD,0.00023605218,low
PRKCZ,0.07093725,low
SKI,0.07666836499999999,low
MORN1,0.00612128,low
RER1,0.09856312,low
PEX10,0.018840885999999998,low
PLCH2,0.016951587,low
PANK4,0.04847865899999999,low
HES5,0.00021778035,low
TNFRSF14,0.31223537999999995,medium
MMEL1,0.0027828570999999997,low
TTC34,0.00263006687,low
PRDM16,0.00032105143,low
ARHGEF16,0.0016340202,low
MEGF6,0.010428224,low
TPRG1L,0.006340024999999999,low
WRAP73,0.05478713,low
TP73,0.0068895836200000005,low
SMIM1,0.011663841000000001,low
LRRC47,0.050187759999999984,low
CEP104,0.07521189,low
DFFB,0.014172655,low
C1orf174,0.077850325,low
AJAP1,0.0005236788,low
NPHP4,0.0192307475,low
KCNAB2,0.11366957,low
RPL22,0.34657059999999973,medium
RNF207,0.0040361066000000004,low
ICMT,0.030714689999999996,low
LINC00337,0.00066966587,low
GPR153,0.0015867645,low
ACOT7,0.048833956000000005,low
HES2,0.0018915830999999999,low
ESPN,0.0013936179,low
TNFRSF25,0.11707639,low
PLEKHG5,0.006708077999999999,low
NOL9,0.05937325599999999,low
TAS1R1,0.00024772715,low
ZBTB48,0.03763877400000001,low
KLHL21,0.060603026000000004,low
PHF13,0.057831083,low
THAP3,0.006856594000000001,low
DNAJC11,0.058527416,low
CAMTA1,0.06495466000000003,low
VAMP3,0.03849164599999999,low
PER3,0.011320334999999999,low
UTS2,0.07772164200000001,low
TNFRSF9,0.304026426,medium
PARK7,0.08920176000000002,low
ERRFI1,0.03305354,low
SLC45A1,0.00325250077,low
RERE,0.065382143,low
ENO1,0.3147455,medium
ENO1-AS1,0.0028244486999999996,low
CA6,0.0061079306,low
SLC2A5,0.0016572227,low
GPR157,0.00427283283,low
H6PD,0.029803952,low
SPSB1,0.029779584000000005,low
SLC25A33,0.16644583,low
TMEM201,0.0084160753,low
PIK3CD,0.24573024999999998,low
CLSTN1,0.067614895,low
CTNNBIP1,0.048484453000000004,low
LZIC,0.06471878499999999,low
NMNAT1,0.006259015999999999,low
RBP7,0.00050283897,low
UBE4B,0.03653225,low
KIF1B,0.020905215,low
PGD,0.18524652,low
CORT,0.0009869616,low
DFFA,0.038674120000000006,low
PEX14,0.01630322,low
CASZ1,0.047277227,low
C1orf127,8.457213e-05,low
TARDBP,0.13442391999999997,low
MASP2,0.00038015877,low
SRM,0.14674668,low
EXOSC10,0.11126626,low
MTOR,0.073731999,low
ANGPTL7,0.0,low
UBIAD1,0.03988517400000001,low
FBXO2,0.021810537,low
FBXO44,0.09849368000000001,low
FBXO6,0.08986967000000001,low
MAD2L2,0.08491747999999999,low
DRAXIN,0.013942276,low
AGTRAP,0.071428546,low
C1orf167,0.0007275427,low
MTHFR,0.017571874,low
CLCN6,0.032136673,low
KIAA2013,0.03506553,low
PLOD1,0.017437964,low
MFN2,0.05555818,low
MIIP,0.07039432600000001,low
TNFRSF8,0.0029537932,low
TNFRSF1B,0.66406261,high
VPS13D,0.084390905,low
DHRS3,0.08601411,low
HNRNPCL1,0.00027511394,low
PDPN,0.0009328104,low
PRDM2,0.245817174,low
KAZN,0.00045333859999999995,low
TMEM51-AS1,0.00021109851,low
TMEM51,0.0006091366,low
FHAD1,0.0010762623999999998,low
EFHD2,0.13369715000000001,low
CTRC,0.0014676999,low
CASP9,0.07755619300000001,low
DNAJC16,0.016279730000000003,low
AGMAT,0.017202504,low
DDI2,0.07988993700000001,low
PLEKHM2,0.011868226999999999,low
SLC25A34,0.0015193621,low
TMEM82,0.00057625433,low
FBLIM1,0.0074217035,low
SPEN,0.160863865,low
ZBTB17,0.051131141,low
HSPB7,0.0,low
CLCNKA,7.162813e-05,low
CLCNKB,0.0,low
EPHA2,0.001101329,low
ARHGEF19,0.034131246000000004,low
FBXO42,0.074298312,low
SZRD1,0.21191813,low
SPATA21,0.0017181208200000003,low
NECAP2,0.10523548999999999,low
NBPF1,0.026232822,low
CROCC,0.032807666,low
MFAP2,0.0002848916,low
ATP13A2,0.032893498,low
SDHB,0.09500869,low
PADI2,0.00183743,low
PADI1,0.0,low
PADI4,0.020457791500000003,low
PADI6,0.0010396807,low
RCC2,0.052286973,low
ARHGEF10L,0.0014120277,low
ACTL8,0.0,low
IGSF21,3.500459e-05,low
KLHDC7A,0.0,low
ALDH4A1,0.008048489700000001,low
IFFO2,0.037090941,low
UBR4,0.225306235,low
EMC1,0.027160775999999998,low
MRTO4,0.018680649999999993,low
AKR7A3,0.00205774105,low
AKR7A2,0.06781433,low
CAPZB,0.19723402999999995,low
NBL1,0.17183834,low
TMCO4,0.034461992999999996,low
RNF186,0.0017090362,low
OTUD3,0.016407996,low
PLA2G2A,0.023779303,low
PLA2G5,0.0001242255,low
PLA2G2D,0.00097369193,low
PLA2G2F,0.0,low
PLA2G2C,0.0003913311,low
UBXN10,0.0023249757,low
CAMK2N1,0.011635119000000001,low
MUL1,0.040203426,low
CDA,0.0027065598,low
PINK1,0.036797591,low
PINK1-AS,0.0010129139999999997,low
DDOST,0.3123266699999999,medium
KIF17,0.00016350865,low
HP1BP3,0.37596771999999995,medium
EIF4G3,0.062618437,low
ECE1,0.12314798999999998,low
NBPF3,0.0219109,low
ALPL,0.0006420129,low
RAP1GAP,0.0011125248,low
USP48,0.09819736,low
LDLRAD2,0.00014266059,low
HSPG2,0.0011466127000000002,low
CELA3B,0.00014039081,low
CELA3A,0.0,low
CDC42,0.19838265999999993,low
WNT4,0.0008489177,low
ZBTB40,0.050224490000000004,low
C1QA,0.011792644499999998,low
C1QC,0.0161773857,low
C1QB,0.017040467599999998,low
EPHB2,0.0016341886,low
KDM1A,0.06377292700000001,low
LUZP1,0.04847121500000001,low
HTR1D,3.7531216e-05,low
HNRNPR,0.27694478,medium
ZNF436,0.0247212586,low
TCEA3,0.036922643,low
ASAP3,0.0011335353999999999,low
E2F2,0.00055561523,low
ID3,0.36035031,medium
MDS2,0.015116878999999998,low
RPL11,0.7162300999999998,high
PITHD1,0.27395061,medium
LYPLA2,0.11808731000000003,low
GALE,0.025735045,low
HMGCL,0.007430012,low
FUCA1,0.10166130599999998,low
CNR2,0.011057822000000002,low
PNRC2,0.6861098969999999,high
SRSF10,0.75208867,high
MYOM3,0.00045042476,low
IL22RA1,0.00017171327,low
IFNLR1,0.0082544174,low
GRHL3,0.0,low
STPG1,0.007584254,low
NIPAL3,0.020370440000000004,low
RCAN3,0.15857744999999998,low
NCMAP,0.0017159231,low
SRRM1,0.3673462,medium
CLIC4,0.00513357167,low
RUNX3,0.30341707999999995,medium
SYF2,0.08371632999999995,low
RHD,0.00081712177,low
TMEM50A,0.27560237,medium
RHCE,0.00573567947,low
LDLRAP1,0.14165588,low
MAN1C1,0.019521743,low
MTFR1L,0.03069292,low
AUNIP,0.00030579904,low
PAQR7,0.0051806916000000005,low
STMN1,0.19568808000000001,low
PAFAH2,0.008500269000000001,low
SLC30A2,0.0005008469,low
TRIM63,0.0,low
PDIK1L,0.011517217,low
FAM110D,0.00026518316,low
ZNF593,0.11201324,low
CNKSR1,0.0029382708,low
CEP85,0.022569585,low
SH3BGRL3,0.6673650000000002,high
UBXN11,0.07654122999999999,low
CD52,0.6162958999999999,high
ZNF683,0.18642247,low
LIN28A,0.00061695854,low
DHDDS,0.019477489999999997,low
HMGN2,0.38052090000000005,medium
RPS6KA1,0.08317189,low
ARID1A,0.12876222,low
PIGV,0.022253163,low
ZDHHC18,0.014556812999999995,low
SFN,0.009790126,low
GPN2,0.06310999,low
GPATCH3,0.04382717999999999,low
NUDC,0.07147329999999996,low
NR0B2,0.0002620056,low
TRNP1,0.00038800272,low
SLC9A1,0.05681225100000001,low
WDTC1,0.05311861400000001,low
TMEM222,0.09025616,low
SYTL1,0.07277142000000003,low
MAP3K6,0.0028508119999999977,low
FCN3,0.00041874315,low
CD164L2,0.00014995185,low
GPR3,0.0017237677,low
WASF2,0.08982367999999996,low
AHDC1,0.019136857,low
FGR,0.14143263,low
IFI6,0.52163907,high
FAM76A,0.02151559,low
STX12,0.104333337,low
PPP1R8,0.022308179999999997,low
THEMIS2,0.06411148500000001,low
RPA2,0.047874640000000024,low
SMPDL3B,0.00120379237,low
XKR8,0.023471119999999998,low
EYA3,0.027542137,low
PTAFR,0.0024463163999999997,low
DNAJC8,0.14560991,low
SESN2,0.145543322,low
MED18,0.00813667,low
PHACTR4,0.07595918,low
RCC1,0.028966964999999997,low
TRNAU1AP,0.08515776,low
