gene,effect_size,effect_size_class
ACTL8,0.0,low
IGSF21,0.00019044022,low
KLHDC7A,0.00020648753,low
ALDH4A1,0.0155210741,low
IFFO2,0.017919657,low
UBR4,0.19640813499999998,low
EMC1,0.018944414,low
MRTO4,0.02245175399999999,low
AKR7A3,0.001540216,low
AKR7A2,0.030838950000000004,low
CAPZB,0.2724241399999999,medium
NBL1,0.057539061,low
TMCO4,0.023433640000000002,low
RNF186,0.0022325139,low
OTUD3,0.029176933000000002,low
PLA2G2A,0.01911364074,low
PLA2G5,6.455951e-05,low
PLA2G2D,0.00360107274,low
PLA2G2F,0.000107088264,low
PLA2G2C,0.00172124924,low
UBXN10,0.0022489888,low
CAMK2N1,0.005727329399999999,low
MUL1,0.031782615,low
CDA,0.0011444617,low
PINK1,0.044085758,low
PINK1-AS,0.0021866432,low
DDOST,0.28304927,medium
KIF17,9.4778254e-05,low
HP1BP3,0.40237946999999996,medium
EIF4G3,0.06229007300000001,low
ECE1,0.111241245,low
NBPF3,0.0114512726,low
ALPL,0.00021502415,low
RAP1GAP,0.00075166984,low
USP48,0.11157958000000001,low
LDLRAD2,0.00042012354,low
HSPG2,0.0019519720999999998,low
CELA3B,0.0,low
CELA3A,0.0,low
CDC42,0.3757585,medium
WNT4,0.0005903983,low
ZBTB40,0.044631033,low
C1QA,0.024975413000000002,low
C1QC,0.030264505500000004,low
C1QB,0.02634664,low
EPHB2,0.0023963240400000003,low
KDM1A,0.061991397000000004,low
LUZP1,0.06559311,low
HTR1D,0.0,low
HNRNPR,0.28715003000000006,medium
ZNF436,0.0188146533,low
TCEA3,0.021081946999999997,low
ASAP3,0.0011243135,low
E2F2,0.0016072698,low
ID3,0.26169865999999997,medium
MDS2,0.049084920000000004,low
RPL11,0.5842816999999996,high
PITHD1,0.31840068000000005,medium
LYPLA2,0.14305152000000002,low
GALE,0.021162734999999995,low
HMGCL,0.010472111000000006,low
FUCA1,0.020741783000000007,low
CNR2,0.0015651603,low
PNRC2,0.6987529650000001,high
SRSF10,0.78863452,high
MYOM3,0.0008000935,low
IL22RA1,0.00035354693,low
IFNLR1,0.0140501466,low
GRHL3,0.00014382694,low
STPG1,0.0068560389999999995,low
NIPAL3,0.07490285999999999,low
RCAN3,0.18595620999999996,low
NCMAP,0.002562583,low
SRRM1,0.30065188,medium
CLIC4,0.0037504422,low
RUNX3,0.11305023999999997,low
SYF2,0.11314783000000006,low
RHD,0.0018565928,low
TMEM50A,0.34925658000000004,medium
RHCE,0.0062851993,low
LDLRAP1,0.08204769000000003,low
MAN1C1,0.028886535999999997,low
MTFR1L,0.018679599999999998,low
AUNIP,0.0004555416,low
PAQR7,0.0035247217,low
STMN1,0.1489131,low
PAFAH2,0.007839407999999999,low
SLC30A2,0.0009046643,low
TRIM63,0.0,low
PDIK1L,0.028652654,low
FAM110D,0.00077013636,low
ZNF593,0.06330443999999999,low
CNKSR1,0.0030966523,low
CEP85,0.0177672786,low
SH3BGRL3,0.27905080000000004,medium
UBXN11,0.044047985,low
CD52,0.5158358000000001,high
ZNF683,0.0019677753000000003,low
LIN28A,0.00087652483,low
DHDDS,0.018163717999999995,low
HMGN2,0.39226863999999995,medium
RPS6KA1,0.061073,low
ARID1A,0.11753330999999999,low
PIGV,0.037717602,low
ZDHHC18,0.020044551,low
SFN,0.0060377723,low
GPN2,0.050998841,low
GPATCH3,0.044983538,low
NUDC,0.07860574999999997,low
NR0B2,0.0,low
TRNP1,0.0002297805,low
SLC9A1,0.06776764,low
WDTC1,0.062993707,low
TMEM222,0.08722356799999999,low
SYTL1,0.18671378,low
MAP3K6,0.010047305000000003,low
FCN3,0.00023023329,low
CD164L2,0.00010347966,low
GPR3,0.0005538776,low
WASF2,0.14146504999999998,low
AHDC1,0.01128151,low
FGR,0.0020580353000000003,low
IFI6,0.6252981,high
FAM76A,0.04507478,low
STX12,0.149212874,low
PPP1R8,0.022116379999999998,low
THEMIS2,0.023498400000000003,low
RPA2,0.03127804000000001,low
SMPDL3B,0.00042554481999999995,low
XKR8,0.024675978,low
EYA3,0.022905118,low
PTAFR,0.0025326571,low
DNAJC8,0.13829876000000002,low
SESN2,0.09149471399999999,low
MED18,0.014713951000000001,low
PHACTR4,0.09406625999999998,low
RCC1,0.019650376,low
TRNAU1AP,0.10789632500000002,low
SNHG12,0.6550209300000001,high
TAF12,0.036752499999999994,low
RAB42,0.00356654649,low
GMEB1,0.036511585,low
YTHDF2,0.22065403999999997,low
EPB41,0.35841012000000005,medium
TMEM200B,0.0005415608,low
SRSF4,0.3472215,medium
MECR,0.011682083999999999,low
PTPRU,0.00043344096,low
MATN1,0.0019023445399999998,low
MATN1-AS1,0.012498517999999998,low
LAPTM5,0.5722539,high
SDC3,0.00167885793,low
PUM1,0.15352449,low
SNRNP40,0.09557558,low
ZCCHC17,0.03568372600000001,low
FABP3,0.00075884414,low
SERINC2,0.0026453199999999996,low
TINAGL1,0.0018189064,low
PEF1,0.17359298999999997,low
COL16A1,0.00105508425,low
SPOCD1,0.00047428755,low
PTP4A2,0.30245669999999997,medium
KHDRBS1,0.46975727,medium
TMEM39B,0.056318741000000005,low
KPNA6,0.05663412999999999,low
TXLNA,0.05491197999999999,low
CCDC28B,0.028720722,low
IQCC,0.003548438,low
DCDC2B,0.0011175856,low
TMEM234,0.033596933,low
EIF3I,0.24673273999999995,low
FAM167B,0.001691985,low
LCK,0.3517766,medium
HDAC1,0.15428850000000002,low
MARCKSL1,0.31141949999999996,medium
TSSK3,0.00217967019,low
FAM229A,0.0076568494,low
BSDC1,0.13177663,low
ZBTB8B,0.0030597947,low
ZBTB8A,0.00978539896,low
ZBTB8OS,0.048661259999999984,low
RBBP4,0.26777006999999997,medium
SYNC,0.08964898699999999,low
KIAA1522,0.0031941896,low
YARS,0.182157782,low
S100PBP,0.06378921000000001,low
FNDC5,0.0,low
HPCA,0.00056753075,low
TMEM54,0.009487133,low
RNF19B,0.020489022,low
AK2,0.12929607000000004,low
TRIM62,0.037924364,low
ZNF362,0.046760086000000006,low
PHC2,0.008440831999999999,low
ZSCAN20,0.0036057148,low
CSMD2,0.0012626643,low
C1orf94,0.0,low
SMIM12,0.10478867,low
GJB5,0.0,low
GJB4,0.0,low
GJB3,0.00028182718,low
GJA4,0.0002024029,low
DLGAP3,0.0033432180000000002,low
ZMYM6,0.03987462,low
ZMYM1,0.027039578999999998,low
SFPQ,0.6660149000000001,high
ZMYM4,0.060112374999999996,low
KIAA0319L,0.099788794,low
NCDN,0.151526554,low
TFAP2E,0.0016012451,low
PSMB2,0.12223216999999997,low
C1orf216,0.013970409999999999,low
CLSPN,0.015062480000000001,low
AGO4,0.010124966,low
AGO1,0.012473866,low
AGO3,0.06714074,low
ADPRHL2,0.15870148,low
COL8A2,0.00019182463,low
TRAPPC3,0.07029717999999999,low
MAP7D1,0.21494998,low
THRAP3,0.27510025000000005,medium
SH3D21,0.00572556854,low
EVA1B,0.0170152165,low
STK40,0.090169946,low
LSM10,0.03640363999999999,low
OSCP1,0.0011475570499999998,low
MRPS15,0.08717345999999998,low
CSF3R,0.002031351,low
GRIK3,0.0,low
ZC3H12A,0.37173085,medium
MEAF6,0.11278062999999999,low
SNIP1,0.10585851600000001,low
DNALI1,0.00040608094,low
GNL2,0.12175138000000002,low
RSPO1,0.0014105131,low
C1orf109,0.01958178,low
CDCA8,0.0044603457999999995,low
EPHA10,0.0012213041,low
MANEAL,0.00081708678,low
YRDC,0.06761324999999999,low
C1orf122,0.03666818599999999,low
MTF1,0.043657302,low
INPP5B,0.034842026,low
SF3A3,0.13650188000000002,low
FHL3,0.045814462,low
POU3F1,0.0042571373,low
RRAGC,0.07573721,low
MYCBP,0.068992375,low
RHBDL2,0.002081259,low
AKIRIN1,0.32787571000000004,medium
NDUFS5,0.1451657999999999,low
MACF1,0.26472315999999996,medium
BMP8A,0.0011202561,low
PABPC4,0.13075158999999997,low
HEYL,0.0421401009,low
HPCAL4,0.005509297,low
PPIE,0.03598635,low
BMP8B,0.0017607522800000002,low
OXCT2,0.00074536214,low
TRIT1,0.020896518,low
MYCL,0.00106337056,low
MFSD2A,0.0194543313,low
CAP1,0.25811210000000007,medium
PPT1,0.04158567000000002,low
RLF,0.143542555,low
ZMPSTE24,0.034543867,low
COL9A2,0.0110992203,low
SMAP2,0.46330049999999995,medium
ZFP69B,0.0041251840000000005,low
ZFP69,0.0043096754999999995,low
EXO5,0.0211073735,low
ZNF684,0.0181892326,low
RIMS3,0.001089075,low
NFYC,0.11441294,low
KCNQ4,0.0006789284,low
CITED4,0.042689055000000004,low
CTPS1,0.084335668,low
SCMH1,0.037785182,low
FOXO6,0.00015277791,low
EDN2,9.348523e-05,low
HIVEP3,0.03487008,low
GUCA2B,0.0015825862,low
GUCA2A,0.0040440594,low
FOXJ3,0.12822908400000002,low
RIMKLA,0.0006656726,low
ZMYND12,0.00284758913,low
PPCS,0.08424089000000001,low
CCDC30,0.0063682888,low
PPIH,0.10701330999999999,low
YBX1,0.23476379999999986,low
C1orf50,0.076620038,low
ERMAP,0.012439688999999999,low
ZNF691,0.012392012999999999,low
SLC2A1,0.036257319999999996,low
SLC2A1-AS1,0.0023693488,low
FAM183A,0.0,low
EBNA1BP2,0.02112307399999999,low
TMEM125,0.001296392,low
C1orf210,0.00062675134,low
TIE1,0.00051911974,low
CDC20,0.0008858920000000001,low
ELOVL1,0.1888978,low
MED8,0.10976494999999999,low
SZT2,0.022393313999999997,low
HYI,0.021353816000000005,low
PTPRF,0.0017271273999999999,low
KDM4A,0.08689228600000001,low
KDM4A-AS1,0.0025282291000000004,low
ST3GAL3,0.038221264,low
ARTN,0.0008996332,low
IPO13,0.032410516,low
DPH2,0.018572580000000005,low
ATP6V0B,0.21862411999999998,low
B4GALT2,0.00100206306,low
CCDC24,0.00756247585,low
SLC6A9,0.00067732367,low
DMAP1,0.04556756999999999,low
ERI3,0.03814597,low
RNF220,0.15400962299999998,low
TMEM53,0.0057389120000000005,low
KIF2C,0.032366811300000006,low
RPS8,0.421068,medium
BEST4,0.0022455359,low
PLK3,0.38087455000000003,medium
TCTEX1D4,0.0016952176600000001,low
BTBD19,0.014660019600000001,low
PTCH2,0.0339587652,low
EIF2B3,0.03688443000000001,low
HECTD3,0.041953141,low
UROD,0.05671699999999999,low
ZSWIM5,0.0019963534,low
HPDL,0.0009593799999999999,low
MUTYH,0.072053593,low
TOE1,0.041954722,low
TESK2,0.030526056,low
MMACHC,0.004012756500000001,low
PRDX1,0.28734235,medium
AKR1A1,0.07770661000000001,low
NASP,0.29797997,medium
CCDC17,0.00486174703,low
GPBP1L1,0.16417304000000002,low
TMEM69,0.01874571,low
IPP,0.022860054,low
MAST2,0.0308604446,low
PIK3R3,0.008433839999999998,low
TSPAN1,0.0082780215,low
POMGNT1,0.030864820000000008,low
LURAP1,0.0011267292700000001,low
RAD54L,0.001347497,low
LRRC41,0.142749287,low
UQCRH,0.08957881000000001,low
NSUN4,0.07446420000000001,low
FAAH,0.0022881882999999997,low
MKNK1,0.040685505,low
MOB3C,0.03349941,low
ATPAF1,0.04775884999999999,low
EFCAB14,0.10703529,low
CYP4X1,0.00012315072,low
CYP4A22-AS1,0.0008305185,low
LINC00853,0.0005319143,low
PDZK1IP1,0.0059910477,low
TAL1,0.0005646979,low
STIL,0.0036909736,low
CMPK1,0.14267649999999998,low
FOXE3,0.0,low
FOXD2-AS1,0.00244162023,low
FOXD2,0.002865812,low
TRABD2B,0.00016581126,low
SLC5A9,0.0,low
SPATA6,0.002062314,low
AGBL4,0.00041095802,low
BEND5,0.006944250799999999,low
ELAVL4,0.00034234807,low
DMRTA2,0.0,low
