gene,H_statistic,p_value,FDR
ACTG1,1376.119579783043,4.477271487732593e-298,5.278092547015673e-296
APOL1,1367.0589338645705,4.140714723793939e-296,4.844636226838909e-294
RPL34,1355.0951140481407,1.633352210527511e-293,1.8967607274640745e-291
TAP1,1353.0949200783168,4.437068784928812e-293,5.114461286094611e-291
IFI35,1343.3371336266964,5.813039467553984e-291,6.651228467250554e-289
GSN,1332.9596278566985,1.0379310800601617e-288,1.1789230318843924e-286
RPL4,1310.7126945670202,6.972354702209748e-284,7.862087791383036e-282
RGS16,1309.8357061093693,1.0806124769883433e-283,1.2097417808932094e-281
RPL9,1300.2334677904953,1.3097072641460193e-281,1.4557396240983004e-279
RPS6,1294.0908442614343,2.818391248616947e-280,3.11042455459066e-278
CNN3,1292.0742984058593,7.71881326571408e-280,8.458623466744844e-278
TAGLN2,1287.3852772457712,8.034711529317294e-279,8.74322700053891e-277
HLA-DOA,1277.5347506504418,1.1023503596975047e-276,1.191227357448116e-274
IFIT3,1274.2685606356881,5.636490644092162e-276,6.04892626984263e-274
TNC,1266.4542393224422,2.7959761886326817e-274,2.9800127035146e-272
HMGN1,1265.1711223845741,5.30809885822124e-274,5.619001791345627e-272
SPARC,1262.5059079600148,2.010137467753089e-273,2.113496563223366e-271
IRF9,1250.8874388280205,6.670215548166695e-271,6.966122425840399e-269
WARS,1243.8828256804309,2.2077752365763883e-269,2.2903460304243453e-267
RPS2,1238.9782002191853,2.559317817375342e-268,2.6374532818660733e-266
SPP1,1236.9930977411923,6.899793815654207e-268,7.063663918775994e-266
RPL10A,1236.7385301295617,7.835561923123409e-268,7.96922739122375e-266
ASPA,1233.5169435699306,3.917989871573422e-267,3.958950674776235e-265
H3F3A,1231.9428661021232,8.601873683213798e-267,8.635726218354187e-265
LTBP4,1230.3196239204992,1.9354848576619342e-266,1.9306461455177794e-264
ENG,1225.4223256344835,2.235424028006428e-265,2.2156326942552885e-263
MLLT11,1198.7029297474735,1.4015990065024696e-259,1.3803976038091727e-257
TNFAIP6,1193.5960774000534,1.797368526216729e-258,1.7590472727332402e-256
CKB,1172.0867994326543,8.344020342125836e-254,8.115081283988759e-252
EEF1B2,1171.6882671145559,1.0182204762245802e-253,9.841322254988008e-252
PTMA,1167.261437297581,9.295979084033956e-253,8.92930435349706e-251
PRDX2,1165.1182988250403,2.7118981158957804e-252,2.5889476430340024e-250
