gene,H_statistic,p_value,FDR
EIF4A3,827.064097810802,1.0540741994120374e-177,1.5446403318183997e-175
SLC7A5,826.8076929309625,1.1978831619845808e-177,1.7379980055170343e-175
GZMA,824.9114195681218,3.084538570020236e-177,4.431453745595739e-175
HSPA5,823.8348436157754,5.27715579732041e-177,7.507906898440125e-175
DUSP2,818.4230695766695,7.846868568778089e-176,1.1056539616045588e-173
HES4,813.3190243772484,1.0007265531933414e-174,1.3837612082385424e-172
KRT81,813.3185839350148,1.0009464178605534e-174,1.3837612082385424e-172
HOPX,812.7334889982216,1.3401419667561193e-174,1.8353682598919786e-172
LST1,809.5401567078143,6.589744103783705e-174,8.941306490448741e-172
CD96,808.5732856180397,1.0673435048853831e-173,1.4349405248248077e-171
FAM177A1,807.0319707077534,2.3023422829126743e-173,3.0671385285274847e-171
ITM2C,802.3513566736284,2.3770177651210166e-172,3.138091741448953e-170
RPS4Y1,801.8561177939981,3.043019297849454e-172,3.9814647134540976e-170
VIM,799.2133235930331,1.1369726479034541e-171,1.474442228528957e-169
STK17B,798.1616868402042,1.9210542369932066e-171,2.4693972621840746e-169
KPNA2,796.9568176454703,3.5036377906837774e-171,4.464548537798267e-169
POLD4,794.5454892532064,1.1663255378854117e-170,1.4733908993252434e-168
RPS18,793.9323737803039,1.5835132633757924e-170,1.9833165266246892e-168
CST7,792.1955346073341,3.765501379599744e-170,4.676242137004631e-168
CREM,789.958612557319,1.1490510069478937e-169,1.4149742399844063e-167
GSTM1,784.0671599080273,2.1697473286888293e-168,2.649623112883842e-166
ZC3H12A,782.5433498341895,4.639355027610648e-168,5.618604014430284e-166
HCST,781.5946668258528,7.446222892790468e-168,8.944012317291108e-166
MYADM,769.704478672768,2.800381069484072e-165,3.336323918066633e-163
DUSP1,766.701458333776,1.2520492100681992e-164,1.4796394455112412e-162
PIK3R1,766.1795111456975,1.6242983564978164e-164,1.90419744928952e-162
SH2D2A,765.7514529337744,2.0108301672856507e-164,2.338627402492375e-162
TNFRSF1B,759.0771966715492,5.608926999218265e-163,6.471906791066493e-161
LAIR2,757.5318000950278,1.2122038031161983e-162,1.3877839477238102e-160
TRAPPC5,755.7944006570049,2.8830526063744034e-162,3.27505836386128e-160
HLA-B,749.8014955161864,5.7246267669180664e-161,6.452975434032103e-159
DNAJA1,744.8883166213421,6.634113522233176e-160,7.421091569069082e-158
PIM3,742.5765950931417,2.1009734543376397e-159,2.3323988636260436e-157
PSMA6,741.1984769830808,4.177058339171961e-159,4.602301721971874e-157
RPL27,741.1185763919894,4.3468438622671393e-159,4.753630593855422e-157
KLF6,735.0553627191724,8.937707828632561e-158,9.701716334872708e-156
TAGLN2,734.0125823058934,1.5033087026498327e-157,1.6198151271051946e-155
DNAJB1,731.6222291670834,4.9510122861656094e-157,5.295776207406631e-155
YWHAZ,728.7052640822351,2.120189493314436e-156,2.2513954228282426e-154
S100A4,725.2545026874302,1.1847921739188221e-155,1.24906075659039e-153
BTG2,725.1377792824484,1.2557946625535093e-155,1.314458213218509e-153
TUBB4B,718.4560091714168,3.514287887992416e-154,3.6523670007546714e-152
BRD2,718.1925748403431,4.007583181149227e-154,4.135712953278928e-152
SNRPN,716.0995097924932,1.1379464788985144e-153,1.1661166225020161e-151
PDE4D,716.0674761559629,1.1562679246371878e-153,1.1766632060856494e-151
SLA2,711.4014569738757,1.1842418523809085e-152,1.1968193175717126e-150
KIT,711.1437937124575,1.3465869050101966e-152,1.3515674319191384e-150
CXCR4,709.3034690200367,3.3708050506155e-152,3.3602569531782e-150
EMP3,707.3655284909364,8.858643576914788e-152,8.77125425514252e-150
KDM6B,707.0671579813247,1.0279567714626074e-151,1.0109851361753724e-149
ABHD17A,705.9431931885282,1.8003284529954035e-151,1.7588008766796427e-149
AFF3,703.9722938693892,4.8096817599603755e-151,4.667620960957572e-149
FOSB,703.2139119601735,7.019886567726494e-151,6.767724852859477e-149
