gene,H_statistic,p_value,FDR
ALDOB,4.448360223868677,0.3487146116851191,0.3724071166395888
NXT2,4.4399362272973075,0.3497290186727369,0.37346554384167124
HCG15,4.4380960611686495,0.34995092192069055,0.3736775944269134
TMC7,4.436936643193401,0.3500907922419556,0.3738020278207721
EPHX4,4.436288244175759,0.35016903347726996,0.3738606458609141
GOLGA1,4.425365585865345,0.3514891472272186,0.37524506239674466
IGLV1-36,4.423800667171445,0.35167860748711843,0.37542230446022234
ELAC1,4.422707865654784,0.35181095803497264,0.3755385614692541
PAEP,4.421170637249328,0.3519972007415662,0.37571232602143584
IBA57,4.41883238202025,0.3522806420930642,0.37598980771670615
MAGEB10,4.413148267922469,0.3529704224258919,0.37670090991441296
PSG2,4.412554044440818,0.35304259474227007,0.3767528309672157
NCR1,4.411959820959167,0.3531147787836454,0.3767989015849662
HK3,4.411811353673054,0.3531328158638901,0.3767989015849662
HKDC1,4.411413193285926,0.3531811914190122,0.3768254158645296
ACER2,4.408761658458528,0.3535034809731569,0.37714415871225304
PC,4.37801961781947,0.35725718692168656,0.381123508919985
CCDC62,4.373454839382015,0.35781724322203795,0.38169555675573635
HSPB3,4.348831257486754,0.36085030751146135,0.3847516559320381
C10orf91,4.348831257486754,0.36085030751146135,0.3847516559320381
TRAV17,4.348831257486754,0.36085030751146135,0.3847516559320381
ALOX12B,4.348831257486754,0.36085030751146135,0.3847516559320381
SYNGR4,4.348831257486754,0.36085030751146135,0.3847516559320381
KLK4,4.348831257486754,0.36085030751146135,0.3847516559320381
TMPRSS3,4.348831257486754,0.36085030751146135,0.3847516559320381
ZNF461,4.3428468349309135,0.36159050729174946,0.38551522034826274
LINC00324,4.324555552140294,0.36386033030924214,0.3879094056551605
PZP,4.315296644536743,0.365013560681039,0.38911295849771727
SLC6A12,4.311210435349767,0.3655234248488556,0.3896305534276667
ALDH8A1,4.300795630585265,0.3668254783506113,0.390992459355942
CCDC60,4.296120276797332,0.3674111698130023,0.39159067786098334
FOXD2,4.289489647949372,0.36824305835935717,0.3924436872522195
JAZF1-AS1,4.289350658715693,0.3682605119186401,0.3924436872522195
AC004988.1,4.2890550529977585,0.36829763473009136,0.3924571362831397
