gene,H_statistic,p_value,FDR
LINC00578,1.8721721102972169,0.599356786219559,0.6572160655336811
FRMPD3,1.8721721102972169,0.599356786219559,0.6572160655336811
KLHDC7A,1.8718503562936353,0.5994256651153218,0.6572160655336811
SH2D1B,1.8718503562936353,0.5994256651153218,0.6572160655336811
MMP7,1.8718503562936353,0.5994256651153218,0.6572160655336811
C22orf31,1.8718503562936353,0.5994256651153218,0.6572160655336811
TMEM89,1.8712069238720364,0.5995634222065351,0.6572160655336811
GRIK2,1.8712069238720364,0.5995634222065351,0.6572160655336811
FIBCD1,1.8712069238720364,0.5995634222065351,0.6572160655336811
NOMO3,1.8709528632504984,0.5996178215616603,0.6572160655336811
BRDT,1.8708852660682636,0.5996322959841851,0.6572160655336811
C4BPA,1.8708852660682636,0.5996322959841851,0.6572160655336811
ANKUB1,1.8708852660682636,0.5996322959841851,0.6572160655336811
TRIM74,1.8708852660682636,0.5996322959841851,0.6572160655336811
LEP,1.8708852660682636,0.5996322959841851,0.6572160655336811
PNLIPRP1,1.8708852660682636,0.5996322959841851,0.6572160655336811
SOHLH2,1.8708852660682636,0.5996322959841851,0.6572160655336811
MCTP2,1.868710576403846,0.6000980785460217,0.6576807114664768
PIFO,1.8659318515306358,0.6006935781374896,0.6582874467616474
C1orf167,1.8635806751607717,0.6011977511845712,0.6587819182334317
PEX11A,1.8634367439979618,0.6012286239006179,0.6587819182334317
ANKRD20A4,1.860756366428236,0.6018037432747576,0.6593661202806812
PPIE,1.8580411669437598,0.6023866979013845,0.6599588249716388
RIMS2,1.8553716072391575,0.6029602100722127,0.660541102850613
PIH1D2,1.8531285031858635,0.603442378027935,0.660983962783559
KLRD1,1.8530996540415374,0.6034485809378025,0.660983962783559
FBXO10,1.8518886364950768,0.6037090012939899,0.661223128046299
ZNF852,1.848668820105234,0.6044017517370646,0.6619031226098406
KHK,1.8486115322078998,0.6044140819912078,0.6619031226098406
COASY,1.8434594364267,0.6055236462506863,0.6630720195426272
FGF22,1.8386118447236859,0.6065688268673635,0.6641702559079972
DTYMK,1.83610288503527,0.607110233377012,0.6647167638116984
