gene,H_statistic,p_value,FDR
LTB,2026.0131073913046,0.0,0.0
CLIC1,1930.7757787257426,0.0,0.0
HSPA1A,1558.7204165076116,0.0,0.0
NEU1,1676.4524680306372,0.0,0.0
HLA-DQB1,1655.7483688092416,0.0,0.0
TAP2,1451.041480828266,0.0,0.0
BRD2,3286.317712303024,0.0,0.0
RPS18,7748.864285709552,0.0,0.0
RPS10,5587.197997295042,0.0,0.0
RPL10A,3405.704493395714,0.0,0.0
CDKN1A,1805.8512974073885,0.0,0.0
NCR2,1646.0657654821728,0.0,0.0
HSP90AB1,1787.155306382106,0.0,0.0
EEF1A1,1573.2089712768723,0.0,0.0
PNRC1,5542.608140183772,0.0,0.0
SCML4,2308.551602186452,0.0,0.0
TNFAIP3,5151.281514343265,0.0,0.0
SYTL3,2281.1272748524348,0.0,0.0
EZR,3411.2632397089887,0.0,0.0
TAGAP,1717.6363733876628,0.0,0.0
ACTB,4152.1362184269265,0.0,0.0
TOMM7,1696.6898138120916,0.0,0.0
TRA2A,1529.4979625837314,0.0,0.0
HERPUD2,1464.6699941354325,0.0,0.0
AOAH,1717.2510381216198,0.0,0.0
STK17A,2073.7078157526857,0.0,0.0
MRPS24,1640.1633144712039,0.0,0.0
PPIA,5826.350681729357,0.0,0.0
SNHG15,1492.6585798681976,0.0,0.0
GNB2,1581.856958162996,0.0,0.0
NAMPT,2226.4175056947197,0.0,0.0
HBP1,1638.2536636786074,0.0,0.0
IFRD1,1976.4553297799212,0.0,0.0
ARF5,1760.931176198106,0.0,0.0
ZYX,2717.7295846289244,0.0,0.0
INSIG1,2105.094748158146,0.0,0.0
DUSP4,3293.266708803325,0.0,0.0
RPS20,10991.982777427233,0.0,0.0
RPL7,11083.580716742212,0.0,0.0
UQCRB,2176.0498293046935,0.0,0.0
RNF19A,2577.447216567383,0.0,0.0
PABPC1,2143.100825032351,0.0,0.0
YWHAZ,3934.108003496963,0.0,0.0
EIF3E,2305.8268018286312,0.0,0.0
RPS6,6424.007030085298,0.0,0.0
DNAJA1,2083.9118382971033,0.0,0.0
B4GALT1,1561.6710364117766,0.0,0.0
VCP,2096.376168181852,0.0,0.0
TOMM5,1530.694901478673,0.0,0.0
ANXA1,2661.5270200177347,0.0,0.0
OSTF1,1497.525049389682,0.0,0.0
ISCA1,1534.334462248211,0.0,0.0
NR4A3,1885.9100020908224,0.0,0.0
TRAF1,1627.7497625806404,0.0,0.0
RPL35,5934.3222669011775,0.0,0.0
HSPA5,2611.608685498301,0.0,0.0
RPL7A,2209.477484709256,0.0,0.0
SURF4,1839.8614672078013,0.0,0.0
TUBB4B,2077.32116578234,0.0,0.0
KLF6,2495.8651613857924,0.0,0.0
PFKFB3,1533.5060012455278,0.0,0.0
VIM,2599.672368447011,0.0,0.0
APBB1IP,1893.8762409206054,0.0,0.0
MAP3K8,2309.4773656905027,0.0,0.0
EPC1,1614.518652655361,0.0,0.0
CREM,3291.046628914675,0.0,0.0
JMJD1C,1473.1205484896127,0.0,0.0
SRGN,2798.834478768679,0.0,0.0
RPS24,1462.8907785455801,0.0,0.0
NFKB2,1892.3502222896589,0.0,0.0
ITPRIP,1583.6155518301312,0.0,0.0
PDCD4,1574.7865323303122,0.0,0.0
ABLIM1,2254.4208660470445,0.0,0.0
IFITM2,2348.9954557163683,0.0,0.0
IFITM1,13027.154283982187,0.0,0.0
IRF7,1990.7994836218268,0.0,0.0
RPLP2,8322.60225578478,0.0,0.0
PNPLA2,1647.7129828784828,0.0,0.0
LSP1,1452.7028214768445,0.0,0.0
NUP98,1713.527887190375,0.0,0.0
RPL27A,13174.046818402596,0.0,0.0
MTRNR2L8,2046.1019479339172,0.0,0.0
EEF1G,12824.078765094397,0.0,0.0
NEAT1,1806.8811952783099,0.0,0.0
MALAT1,11938.423218122009,0.0,0.0
RAB1B,1902.6151105870958,0.0,0.0
RBM4,1736.1541141325663,0.0,0.0
POLD4,2850.974770069547,0.0,0.0
TCIRG1,1506.0630842392436,0.0,0.0
RPS3,2260.1312901095957,0.0,0.0
CD3E,4166.874079715481,0.0,0.0
RPS25,3162.390954995631,0.0,0.0
HSPA8,3005.088078499036,0.0,0.0
TBRG1,1962.8035609066426,0.0,0.0
GAPDH,3705.6878319707093,0.0,0.0
SLC2A3,4124.039954330822,0.0,0.0
CLEC2D,1742.8019729651064,0.0,0.0
CD69,2741.9152892636307,0.0,0.0
CLEC2B,1879.0060159050734,0.0,0.0
GABARAPL1,2037.635842040586,0.0,0.0
KLRK1,5778.337353305139,0.0,0.0
KLRC4,1538.7786328276834,0.0,0.0
KLRC3,2402.127169356502,0.0,0.0
KLRC2,2372.4142330142477,0.0,0.0
PRR4,1515.0126839676557,0.0,0.0
CDKN1B,1991.4750581389308,0.0,0.0
ATF7IP,1446.5899208674427,0.0,0.0
CCNT1,1509.107939387565,0.0,0.0
DAZAP2,1684.3063560118392,0.0,0.0
NR4A1,2500.1176863336336,0.0,0.0
KRT81,1662.4739340211027,0.0,0.0
PCBP2,2762.1189684614083,0.0,0.0
RPS26,6375.548956669019,0.0,0.0
RPL41,18644.336960442855,0.0,0.0
ARHGAP9,2516.0090984303083,0.0,0.0
PHLDA1,1848.3687657260348,0.0,0.0
BTG1,2235.3341473841383,0.0,0.0
RPL6,1574.4590397845423,0.0,0.0
RPLP0,1512.1992168373065,0.0,0.0
COX6A1,1496.6707903783952,0.0,0.0
VPS37B,3094.8117649039514,0.0,0.0
UBC,2560.715319133307,0.0,0.0
RPL21,13019.745496754349,0.0,0.0
ALOX5AP,2140.83614769866,0.0,0.0
HSPH1,1830.9244237493554,0.0,0.0
ELF1,2008.6153953761043,0.0,0.0
LCP1,2109.44378175969,0.0,0.0
TRDC,1964.9394132259185,0.0,0.0
TRAC,5321.292042302982,0.0,0.0
FAM177A1,2544.802899255182,0.0,0.0
PSMA6,2171.439489179585,0.0,0.0
NFKBIA,1839.6474444651678,0.0,0.0
RALGAPA1,1589.8695676082648,0.0,0.0
RPS29,7542.7990141952,0.0,0.0
RPL36AL,2086.508333737004,0.0,0.0
GNG2,2759.0320808210454,0.0,0.0
HIF1A,1544.791325356291,0.0,0.0
ZFP36L1,2185.9894211912697,0.0,0.0
FOS,1504.6277614907299,0.0,0.0
ASB2,1524.2833332605853,0.0,0.0
EIF5,1729.5873671603767,0.0,0.0
CRIP1,3798.290180974866,0.0,0.0
IGHA1,3316.000431553825,0.0,0.0
IGHG3,1672.3704174963239,0.0,0.0
IGHV1-2,2141.9102505377655,0.0,0.0
SNRPN,3141.4818023577573,0.0,0.0
RAB8B,1591.7418135490352,0.0,0.0
RPL4,3211.6507121827844,0.0,0.0
RPLP1,1867.1163840858414,0.0,0.0
RPS17,6817.875469739531,0.0,0.0
AKAP13,1722.5750674072221,0.0,0.0
NGRN,1660.6133744682015,0.0,0.0
IQGAP1,1565.1392529863267,0.0,0.0
RPS2,7836.7326018602525,0.0,0.0
ATP6V0C,6252.480895791723,0.0,0.0
IL32,1584.8254786287296,0.0,0.0
RPS15A,1716.9290800693855,0.0,0.0
RBBP6,1714.2436871187094,0.0,0.0
IL21R,2025.1589873505534,0.0,0.0
LAT,3039.290884553326,0.0,0.0
CKLF,2444.0602233182344,0.0,0.0
PSMB10,2074.939024500515,0.0,0.0
SLC7A5,1906.0514894844403,0.0,0.0
CYBA,1490.2289531209844,0.0,0.0
RPL13,4703.391090812206,0.0,0.0
ITGAE,2065.8380334105527,0.0,0.0
PFN1,2004.8354617579896,0.0,0.0
RNASEK,7261.792949683043,0.0,0.0
C17orf49,2137.6850117970052,0.0,0.0
GABARAP,6900.643869293576,0.0,0.0
POLR2A,1965.0401780292755,0.0,0.0
EIF4A1,6523.493176087661,0.0,0.0
KDM6B,3010.9227262367226,0.0,0.0
PER1,3204.847947048573,0.0,0.0
RPL26,2392.7865702589097,0.0,0.0
MTRNR2L1,1601.493040185933,0.0,0.0
WSB1,1518.2402956734131,0.0,0.0
RPL23A,8071.4900653903205,0.0,0.0
TRAF4,2000.2408947336548,0.0,0.0
SSH2,1532.0192772424768,0.0,0.0
CCL5,3941.9599678646887,0.0,0.0
CCL4,1587.2186927133544,0.0,0.0
CCL4L2,1866.895188948411,0.0,0.0
RPL23,6361.257508039853,0.0,0.0
RPL19,1678.4240422076084,0.0,0.0
IKZF3,2401.7225474003812,0.0,0.0
EIF1,1552.7551445571091,0.0,0.0
STAT3,1786.4580175551885,0.0,0.0
RPL27,4125.971408028437,0.0,0.0
SKAP1,1691.6097342374212,0.0,0.0
NME2,6448.066052380363,0.0,0.0
KPNA2,1882.0572583541107,0.0,0.0
RPL38,4501.1542516059235,0.0,0.0
SLC9A3R1,1677.2423713792368,0.0,0.0
H3F3B,1945.8138449446628,0.0,0.0
USP36,1700.4100988739153,0.0,0.0
EIF4A3,1685.2655832268583,0.0,0.0
ACTG1,2845.8115796946913,0.0,0.0
DCXR,1655.1064709626019,0.0,0.0
CD7,5135.582788033261,0.0,0.0
YES1,1793.8979689970226,0.0,0.0
MYL12A,1632.0710901877592,0.0,0.0
NDUFV2,2179.4299619702156,0.0,0.0
LDLRAD4,2336.3094903317688,0.0,0.0
MAPRE2,2446.4024195712336,0.0,0.0
C18orf32,1704.4767026507152,0.0,0.0
RPL17,11013.344315248934,0.0,0.0
MBP,1450.883821957395,0.0,0.0
R3HDM4,1493.7768392944927,0.0,0.0
RPS15,3516.3165394165885,0.0,0.0
TMIGD2,1942.2334817434103,0.0,0.0
RPL36,2237.0879951532675,0.0,0.0
TRAPPC5,2230.4492467761875,0.0,0.0
CDC37,1774.0031330227398,0.0,0.0
LDLR,1570.9740174038002,0.0,0.0
DNAJB1,2135.2099094897158,0.0,0.0
KLF2,2351.8835155833576,0.0,0.0
RPL18A,2416.315236187096,0.0,0.0
NDUFA13,1657.19069454184,0.0,0.0
GPI,2063.4069819580204,0.0,0.0
IGFLR1,1532.6361073801386,0.0,0.0
NFKBID,1549.4241447223642,0.0,0.0
HNRNPL,1747.326188177644,0.0,0.0
PAF1,1497.527170451556,0.0,0.0
ZFP36,5813.308084928853,0.0,0.0
RPS16,3606.7637018218084,0.0,0.0
SERTAD1,1719.0766358463165,0.0,0.0
RPS19,4103.1834060684505,0.0,0.0
BCL3,3511.0504247108056,0.0,0.0
RELB,3011.680760335314,0.0,0.0
FOSB,2752.209862604855,0.0,0.0
PPP1R15A,2730.750785259132,0.0,0.0
RPL13A,12010.132311842255,0.0,0.0
RPS11,4309.204510485485,0.0,0.0
ZNF331,3161.457408139816,0.0,0.0
MYADM,2862.371826535746,0.0,0.0
RPS9,3642.0787489681356,0.0,0.0
KIR2DL4,2502.8176916299235,0.0,0.0
A1BG,1531.107724957828,0.0,0.0
RPS5,2184.133608493268,0.0,0.0
GPCPD1,1719.3773332440887,0.0,0.0
MAP1LC3A,1542.4132733326444,0.0,0.0
SLA2,1520.977848923584,0.0,0.0
UBE2V1,2560.9094351979793,0.0,0.0
PPDPF,1689.883116295407,0.0,0.0
LIME1,3659.3818297417383,0.0,0.0
SAMSN1,1656.3028242752848,0.0,0.0
IGLV9-49,2606.40882759334,0.0,0.0
IGLV2-14,4124.917771607494,0.0,0.0
MIF,6182.0786898438955,0.0,0.0
SF3A1,1980.10936621926,0.0,0.0
MYH9,2439.694645445728,0.0,0.0
IL2RB,2071.6371077875147,0.0,0.0
RAC2,2984.1724762398444,0.0,0.0
LGALS1,1996.9414095083332,0.0,0.0
RPL3,7736.904894856427,0.0,0.0
SYNGR1,1626.8935861702346,0.0,0.0
PIM3,2497.7656969957366,0.0,0.0
CD99,2167.08180571328,0.0,0.0
TMSB4X,2487.8992212134226,0.0,0.0
SAT1,1491.7234684375628,0.0,0.0
DDX3X,1978.550778927937,0.0,0.0
TSPYL2,2183.9250518660274,0.0,0.0
OGT,1503.82733713882,0.0,0.0
RPS4X,4075.111099179831,0.0,0.0
XIST,3146.438549366161,0.0,0.0
PGK1,1523.5369793383406,0.0,0.0
GPR174,2366.4141853728024,0.0,0.0
TSC22D3,1659.83953491747,0.0,0.0
SLC25A5,1511.5371632476554,0.0,0.0
IDS,1801.4560189967406,0.0,0.0
EMD,2903.940730816005,0.0,0.0
RPL10,2629.7048659472407,0.0,0.0
RPS4Y1,5540.65682140415,0.0,0.0
DDX3Y,4124.770456782261,0.0,0.0
EIF1AY,1590.7970917167313,0.0,0.0
MT-ND2,6162.491792422691,0.0,0.0
MT-CO1,2537.8296245199954,0.0,0.0
MT-CO2,5868.402047772631,0.0,0.0
MT-ATP8,12361.240579577157,0.0,0.0
MT-CO3,1672.752095394662,0.0,0.0
MT-ND3,1605.377005628515,0.0,0.0
MT-ND4L,11476.897993534969,0.0,0.0
MT-ND4,6764.800395546882,0.0,0.0
MT-ND5,2627.4291294809386,0.0,0.0
MT-ND6,4172.572332416131,0.0,0.0
MT-CYB,3104.1427732179714,0.0,0.0
AL592183.1,2331.7563094518864,0.0,0.0
TRGV4,1442.4107842968006,4.3968191007914e-311,1.58970573395357e-309
RPL8,1440.948946381762,9.1228999239674e-311,3.290805687190757e-309
NEDD9,1436.0469120647808,1.05467396694058e-309,3.795605593524344e-308
NAPA,1434.4042598663757,2.395075727628396e-309,8.599594073311474e-308
BCL2L11,1433.7053850556993,3.39520992167855e-309,1.2162518122658158e-307
MAPK1IP1L,1429.862429024284,2.313075960175175e-308,8.26698665582608e-307
GPS2,1427.06006888089,9.372681492585879e-308,3.342134843239281e-306
ZNF10,1426.5908860288919,1.1846853325995347e-307,4.214714614628139e-306
LAT2,1426.5572979457181,1.2047206654761126e-307,4.276208261679708e-306
RAPGEF6,1425.71935114337,1.83058280293054e-307,6.48293185356745e-306
KHDRBS1,1423.3582865078665,5.950716335945623e-307,2.10263151988515e-305
UBA52,1421.3043708317284,1.659377162650511e-306,5.849962981344103e-305
AREG,1420.6439278339074,2.3075807907927478e-306,8.116732704627794e-305
MTFP1,1419.0010063212992,5.240961381432658e-306,1.839305340793082e-304
