gene,H_statistic,p_value,FDR
HES4,2409.3743067078035,0.0,0.0
TNFRSF1B,1819.6509938630388,0.0,0.0
HP1BP3,1459.803630434898,0.0,0.0
PNRC2,4368.972990867007,0.0,0.0
SRSF10,4384.166410464695,0.0,0.0
CD52,1894.5283280876074,0.0,0.0
IFI6,1606.053654553605,0.0,0.0
SNHG12,2538.599713019123,0.0,0.0
EPB41,1841.3065195526024,0.0,0.0
SFPQ,1471.153230802218,0.0,0.0
JAK1,2147.4419861796086,0.0,0.0
IFI44L,2702.7471829227266,0.0,0.0
GSTM1,3037.640657509293,0.0,0.0
DENND2D,1550.6660545739692,0.0,0.0
HIST2H2AA4,1695.4731402869872,0.0,0.0
C1orf56,2640.054644610688,0.0,0.0
S100A6,4289.642290169996,0.0,0.0
S100A4,4137.711433132768,0.0,0.0
RPS27,5592.639332080049,0.0,0.0
KRTCAP2,2734.388747791639,0.0,0.0
SH2D2A,2068.4182397201084,0.0,0.0
PRRC2C,1472.700632565195,0.0,0.0
RABGAP1L,1500.4465783032865,0.0,0.0
PTPRC,3410.1315924215983,0.0,0.0
CD55,2196.6872821671805,0.0,0.0
HNRNPU,1843.4593795621845,0.0,0.0
CNST,2199.5147492123206,0.0,0.0
LBH,1570.426419752785,0.0,0.0
EML4,2175.4292818628755,0.0,0.0
ZFP36L2,1982.6561369496328,0.0,0.0
RPS27A,2600.2856120173715,0.0,0.0
REL,3076.015254643598,0.0,0.0
PELI1,1830.6196147882772,0.0,0.0
WBP1,1771.9779255463866,0.0,0.0
TMSB10,2170.236991003233,0.0,0.0
IGKC,1860.930322125468,0.0,0.0
IGKV1-5,2044.0644156431251,0.0,0.0
IGKV3-20,2211.1493490127477,0.0,0.0
DUSP2,1983.3746483568527,0.0,0.0
ARID5A,1456.335278205777,0.0,0.0
ZAP70,2692.2832108070384,0.0,0.0
RPL31,13889.614285713613,0.0,0.0
RNF149,2899.401045195042,0.0,0.0
RANBP2,2400.674560938047,0.0,0.0
BCL2L11,1928.4447485616327,0.0,0.0
NR4A2,2437.703505675828,0.0,0.0
CYTIP,3463.4694590527624,0.0,0.0
WIPF1,2319.9580895302074,0.0,0.0
ITGA4,2520.102244650057,0.0,0.0
STAT1,1460.2915492534817,0.0,0.0
STK17B,1996.6219869877102,0.0,0.0
SF3B1,2256.565305618826,0.0,0.0
NBEAL1,3894.6011142599436,0.0,0.0
CD28,2226.3597881495407,0.0,0.0
ICOS,2318.3262464033687,0.0,0.0
RPL37A,3591.7807084220453,0.0,0.0
NCL,2068.7481062078296,0.0,0.0
SATB1,1806.8036396689358,0.0,0.0
RPL15,6259.947220780857,0.0,0.0
TGFBR2,2917.4500686991096,0.0,0.0
CSRNP1,1915.6139466869759,0.0,0.0
SETD2,1576.7763999413155,0.0,0.0
SHISA5,1613.4718433766634,0.0,0.0
ARIH2,1623.287384704628,0.0,0.0
RHOA,2715.2188435037797,0.0,0.0
CGGBP1,1501.415929773832,0.0,0.0
CLDND1,1503.259677240322,0.0,0.0
NFKBIZ,1856.2757750611224,0.0,0.0
CBLB,1682.3007664521613,0.0,0.0
HCLS1,2217.8135860632456,0.0,0.0
RPN1,2566.7509981889034,0.0,0.0
MBNL1,3444.528509904871,0.0,0.0
TIPARP,1494.2363147059016,0.0,0.0
SKIL,1694.2291727419176,0.0,0.0
TNIK,3233.0065752931964,0.0,0.0
ACAP2,1470.844671214954,0.0,0.0
PAK2,1712.7135066987523,0.0,0.0
CD38,2133.0733270354945,0.0,0.0
RPL9,7561.262379037674,0.0,0.0
RHOH,2267.0526738086537,0.0,0.0
G3BP2,1522.2491402095845,0.0,0.0
CCNI,2043.0897723565606,0.0,0.0
CNOT6L,1631.9548253109326,0.0,0.0
GPRIN3,1741.5337523245873,0.0,0.0
RPL34,6158.556218687556,0.0,0.0
RPS3A,2527.034671570441,0.0,0.0
GOLPH3,1459.3693676724774,0.0,0.0
IL6ST,4661.642024173959,0.0,0.0
PDE4D,2419.7215028712935,0.0,0.0
CCNH,1985.4693700264947,0.0,0.0
LNPEP,1854.3368718030883,0.0,0.0
CHD1,2108.4920998508323,0.0,0.0
CAMK4,2285.0741375175676,0.0,0.0
RAPGEF6,2886.8499469238855,0.0,0.0
PPP2CA,1608.5839836936245,0.0,0.0
UBE2B,2192.574139814185,0.0,0.0
HSPA9,1580.9993408999537,0.0,0.0
MATR3,2939.6851710610335,0.0,0.0
ANKHD1,2108.4943117258267,0.0,0.0
NR3C1,2371.957899408559,0.0,0.0
CSNK1A1,2327.0397145220873,0.0,0.0
CD74,2129.6933104831933,0.0,0.0
RPS14,5511.624824772399,0.0,0.0
DCTN4,1447.2229078623122,0.0,0.0
ITK,1619.9679453600083,0.0,0.0
MAT2B,1468.7702897649392,0.0,0.0
LCP2,2599.960347475197,0.0,0.0
SQSTM1,2377.2173186645114,0.0,0.0
HIST1H4C,2030.7089335003118,0.0,0.0
HMGN4,2882.0675058489696,0.0,0.0
HLA-F,1560.4625807954076,0.0,0.0
HLA-A,3143.7245109569053,0.0,0.0
RPP21,2805.927776586905,0.0,0.0
HLA-E,2763.3698419402835,0.0,0.0
HLA-C,2122.8350127254234,0.0,0.0
HLA-B,2493.862661781074,0.0,0.0
DDX39B,3447.184371259339,0.0,0.0
CSNK2B,1834.942900733332,0.0,0.0
ABHD16A,1478.5395244152826,0.0,0.0
TAP2,1938.2977222054844,0.0,0.0
BRD2,2700.729328039758,0.0,0.0
RPS18,9603.01384685461,0.0,0.0
PHF1,1453.4188885827243,0.0,0.0
RPS10,9251.650924901716,0.0,0.0
RPL10A,3631.158207582085,0.0,0.0
CDKN1A,1960.4406644276924,0.0,0.0
ELOVL5,1487.5871192068107,0.0,0.0
PNRC1,4901.717834029313,0.0,0.0
BACH2,1753.166006785241,0.0,0.0
